epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3855,1.40154,2.66932,1.05676,0.80475,0.85103,0.85945,0.52821,1.28596,1.23664,1.05338,0.000553814,0.000553814,0.000553814
2,112.253,1.3702,1.34063,1.09206,0.79397,0.78279,0.82458,0.50961,1.32827,1.12185,1.0667,0.00108751,0.00108751,0.00108751
3,165.148,1.34384,1.0395,1.07234,0.80123,0.88133,0.89418,0.57878,1.24783,1.00638,1.0474,0.00159921,0.00159921,0.00159921
4,217.981,1.29283,0.90702,1.05954,0.84797,0.8417,0.91464,0.63157,1.14164,0.83672,1.03655,0.00156798,0.00156798,0.00156798
5,270.796,1.24265,0.83,1.03805,0.88699,0.92065,0.92758,0.64238,1.12911,0.73083,1.0151,0.00153497,0.00153497,0.00153497
6,323.612,1.23868,0.79802,1.04098,0.88079,0.90505,0.93807,0.65248,1.11895,0.71069,1.01043,0.00150197,0.00150197,0.00150197
7,376.36,1.21357,0.77074,1.03743,0.88575,0.92052,0.94166,0.66293,1.08686,0.69984,0.99935,0.00146896,0.00146896,0.00146896
8,429.142,1.18874,0.75138,1.028,0.92388,0.94836,0.96303,0.69053,1.04767,0.63846,0.99171,0.00143595,0.00143595,0.00143595
9,482.187,1.15455,0.72397,1.00835,0.90339,0.93981,0.95249,0.69054,1.02002,0.67123,0.97173,0.00140295,0.00140295,0.00140295
10,535.459,1.13405,0.6982,1.00333,0.90738,0.95797,0.96195,0.69645,1.05169,0.62719,0.98525,0.00136994,0.00136994,0.00136994
11,588.5,1.10484,0.68289,0.99772,0.90353,0.94123,0.95264,0.69194,1.01167,0.62103,0.98111,0.00133693,0.00133693,0.00133693
12,641.575,1.1046,0.66687,0.99281,0.91988,0.93629,0.96087,0.69512,1.03157,0.61255,0.9676,0.00130393,0.00130393,0.00130393
13,695.025,1.09359,0.64691,0.98225,0.94094,0.95043,0.96868,0.71224,0.97158,0.55497,0.94957,0.00127092,0.00127092,0.00127092
14,748.426,1.07486,0.65355,0.98299,0.94297,0.95419,0.97008,0.71903,1.00234,0.56055,0.96189,0.00123791,0.00123791,0.00123791
15,801.663,1.04618,0.6311,0.97291,0.93766,0.95175,0.96815,0.73014,0.94372,0.55329,0.94582,0.00120491,0.00120491,0.00120491
16,854.808,1.03109,0.61698,0.966,0.94975,0.95088,0.97168,0.72687,0.94902,0.55698,0.93368,0.0011719,0.0011719,0.0011719
17,907.809,1.02532,0.59726,0.95971,0.93095,0.9633,0.96908,0.70514,1.00836,0.55632,0.97143,0.00113889,0.00113889,0.00113889
18,961.207,1.02309,0.59694,0.95523,0.93481,0.9658,0.97674,0.72627,0.97203,0.55008,0.9404,0.00110589,0.00110589,0.00110589
